sensor_id,receiver_id,time_index,value_db
poi_500_115,poi_500_115,0,40.0
poi_500_115,poi_500_115,1,40.0
poi_500_115,poi_500_115,2,40.0
poi_500_115,poi_500_115,3,40.0
poi_500_115,poi_500_115,4,40.0
poi_500_115,poi_500_115,5,40.0
poi_500_115,poi_500_115,6,40.0
poi_500_115,poi_500_115,7,40.0
poi_500_115,poi_500_115,8,40.0
poi_500_115,poi_500_115,9,50.70975410460015
poi_500_115,poi_500_115,10,51.270519401770606
poi_500_115,poi_500_115,11,51.87562068659175
poi_500_115,poi_500_115,12,52.53010658058807
poi_500_115,poi_500_115,13,53.23958542986525
poi_500_115,poi_500_115,14,54.01005792219671
poi_500_115,poi_500_115,15,55.34922504697255
poi_500_115,poi_500_115,16,56.21008480943824
poi_500_115,poi_500_115,17,50.72385316899452
poi_500_115,poi_500_115,18,51.506877083318514
poi_500_115,poi_500_115,19,52.35343970054244
poi_500_115,poi_500_115,20,53.221597563128675
poi_500_115,poi_500_115,21,55.68652395385287
poi_500_115,poi_500_115,22,56.28579678016117
poi_500_115,poi_500_115,23,55.69222562233105
poi_500_115,poi_500_115,24,55.808983398090206
poi_500_115,poi_500_115,25,55.90177941352359
poi_500_115,poi_500_115,26,56.113713280237995
poi_500_115,poi_500_115,27,56.849279933765374
poi_500_115,poi_500_115,28,57.38680679966022
poi_500_115,poi_500_115,29,57.51136721604847
poi_500_115,poi_500_115,30,57.070953156514534
poi_500_115,poi_500_115,31,56.78554869310189
poi_500_115,poi_500_115,32,56.67452948928768
poi_500_115,poi_500_115,33,57.67941929067935
poi_500_115,poi_500_115,34,57.85331862229101
poi_500_115,poi_500_115,35,57.940764778059695
poi_500_115,poi_500_115,36,57.74462054540615
poi_500_115,poi_500_115,37,56.70020064500747
poi_500_115,poi_500_115,38,56.76973687999617
poi_500_115,poi_500_115,39,57.937157988940285
poi_500_115,poi_500_115,40,58.39252579892117
poi_500_115,poi_500_115,41,58.548466529350065
poi_500_115,poi_500_115,42,58.297712854134886
poi_500_115,poi_500_115,43,57.97516763009924
poi_500_115,poi_500_115,44,58.10341950503685
poi_500_115,poi_500_115,45,59.07207720514444
poi_500_115,poi_500_115,46,59.47068454341927
poi_500_115,poi_500_115,47,58.25307619392726
poi_500_115,poi_500_115,48,58.157576714695665
poi_500_115,poi_500_115,49,57.35702983033888
poi_500_115,poi_500_115,50,57.578512712898245
poi_500_115,poi_500_115,51,58.19875536155131
poi_500_115,poi_500_115,52,58.644072419517414
poi_500_115,poi_500_115,53,58.70204555257341
poi_500_115,poi_500_115,54,58.24378781750653
poi_500_115,poi_500_115,55,57.58384887104811
poi_500_115,poi_500_115,56,57.327735765635346
poi_500_115,poi_500_115,57,57.51542532375866
poi_500_115,poi_500_115,58,57.50777807244869
poi_500_115,poi_500_115,59,58.96054222381605
poi_500_115,poi_500_115,60,58.375125843510524
poi_500_115,poi_500_115,61,56.962954331467024
poi_500_115,poi_500_115,62,56.4657916629643
poi_500_115,poi_500_115,63,56.48723407113715
poi_500_115,poi_500_115,64,56.330981014649765
poi_500_115,poi_500_115,65,58.15446596789117
poi_500_115,poi_500_115,66,57.55733953057862
poi_500_115,poi_500_115,67,56.02782967627591
poi_500_115,poi_500_115,68,55.65501330106968
poi_500_115,poi_500_115,69,56.69400660586568
